Entity,Code,Death_rate
Afghanistan,AFG,0.761195346
Albania,ALB,0.744028379
Algeria,DZA,1.011559284
American Samoa,ASM,1.062878588
Andean Latin America,,1.103344204
Andorra,AND,1.463046777
Angola,AGO,0.947498314
Antigua and Barbuda,ATG,0.466165139
Argentina,ARG,1.510639995
Armenia,ARM,1.066223899
Australasia,,1.764704187
Australia,AUS,1.787193314
Austria,AUT,1.747437083
Azerbaijan,AZE,0.571280404
Bahamas,BHS,0.510856367
Bahrain,BHR,2.192667836
Bangladesh,BGD,1.052635809
Barbados,BRB,0.536089943
Belarus,BLR,1.948714911
Belgium,BEL,1.957649836
Belize,BLZ,1.490530504
Benin,BEN,0.859371672
Bermuda,BMU,0.593747414
Bhutan,BTN,1.183647912
Bolivia,BOL,1.002332868
Bosnia and Herzegovina,BIH,0.84182138
Botswana,BWA,1.405443949
Brazil,BRA,1.048439986
Brunei,BRN,1.463147403
Bulgaria,BGR,0.924341838
Burkina Faso,BFA,0.825999022
Burundi,BDI,0.851973763
Cambodia,KHM,0.648561051
Cameroon,CMR,1.13507472
Canada,CAN,1.651977527
Cape Verde,CPV,2.901820588
Caribbean,,1.309275777
Central African Republic,CAF,0.811660785
Central Asia,,1.653026982
Central Europe,,1.343379365
"Central Europe, Eastern Europe, and Central Asia",,1.914110806
Central Latin America,,1.193945471
Central Sub-Saharan Africa,,0.884911049
Chad,TCD,0.540355702
Chile,CHL,1.834582887
China,CHN,1.230227663
Colombia,COL,1.24413598
Comoros,COM,0.985702988
Congo,COG,1.219263099
Costa Rica,CRI,1.678963119
Cote d'Ivoire,CIV,1.035563513
Croatia,HRV,1.38157369
Cuba,CUB,1.764712961
Cyprus,CYP,0.910824814
Czechia,CZE,1.372462657
Democratic Republic of Congo,COD,0.84520129
Denmark,DNK,1.281387256
Djibouti,DJI,0.977407941
Dominica,DMA,0.513566709
Dominican Republic,DOM,1.379325339
East Asia,,1.253818951
Eastern Europe,,2.246841635
Eastern Sub-Saharan Africa,,0.90991626
Ecuador,ECU,1.786935657
Egypt,EGY,0.951751628
El Salvador,SLV,1.474585141
England,,0.908935398
Equatorial Guinea,GNQ,0.907834271
Eritrea,ERI,1.343182573
Estonia,EST,1.435077137
Eswatini,SWZ,2.047834579
Ethiopia,ETH,0.951013163
Fiji,FJI,1.17756227
Finland,FIN,1.576410045
France,FRA,1.910683997
Gabon,GAB,1.419273378
Gambia,GMB,0.873982131
Georgia,GEO,0.682741056
Germany,DEU,1.289062352
Ghana,GHA,0.946242949
Greece,GRC,0.430317735
Greenland,GRL,7.211967502
Grenada,GRD,0.536223149
Guam,GUM,2.761063769
Guatemala,GTM,1.076373148
Guinea,GIN,0.688642836
Guinea-Bissau,GNB,0.907356
Guyana,GUY,3.406109955
Haiti,HTI,0.941983812
High SDI,,1.656866615
High-income,,1.654207797
High-income Asia Pacific,,2.632480545
High-middle SDI,,1.402488741
Honduras,HND,0.792311704
Hungary,HUN,1.659641867
Iceland,ISL,1.810335929
India,IND,2.127877535
Indonesia,IDN,0.481723296
Iran,IRN,1.255617999
Iraq,IRQ,0.994540875
Ireland,IRL,1.469769619
Israel,ISR,1.187182403
Italy,ITA,0.697126647
Jamaica,JAM,0.534329583
Japan,JPN,2.100840053
Jordan,JOR,1.105835757
Kazakhstan,KAZ,3.166981306
Kenya,KEN,1.058731903
Kiribati,KIR,2.946105305
Kuwait,KWT,1.680258152
Kyrgyzstan,KGZ,1.75321507
Laos,LAO,1.184452733
Latin America and Caribbean,,1.14057513
Latvia,LVA,1.56113878
Lebanon,LBN,1.20811859
Lesotho,LSO,2.026897546
Liberia,LBR,1.08869578
Libya,LBY,1.676518247
Lithuania,LTU,2.524897136
Low SDI,,1.1563568
Low-middle SDI,,1.483222789
Luxembourg,LUX,1.560218516
Madagascar,MDG,0.860983053
Malawi,MWI,0.918025702
Malaysia,MYS,1.381018608
Maldives,MDV,1.316146434
Mali,MLI,0.389544208
Malta,MLT,0.667481592
Marshall Islands,MHL,2.859772089
Mauritania,MRT,0.786471326
Mauritius,MUS,1.138383722
Mexico,MEX,1.073296334
Micronesia (country),FSM,2.263121469
Middle SDI,,1.375537386
Moldova,MDA,1.553667397
Mongolia,MNG,2.473222163
Montenegro,MNE,1.178418007
Morocco,MAR,1.165235104
Mozambique,MOZ,1.060482945
Myanmar,MMR,0.651505025
Namibia,NAM,1.359561618
Nepal,NPL,1.280283129
Netherlands,NLD,1.358551426
New Zealand,NZL,1.646317538
Nicaragua,NIC,1.606223769
Niger,NER,0.436625905
Nigeria,NGA,0.508181638
North Africa and Middle East,,0.961058091
North America,,1.703474631
North Korea,PRK,1.40710887
North Macedonia,MKD,1.001271676
Northern Ireland,,1.298057976
Northern Mariana Islands,MNP,2.142065259
Norway,NOR,1.409336009
Oceania,,2.272502452
Oman,OMN,1.25815782
Pakistan,PAK,0.641413986
Palestine,PSE,1.004493773
Panama,PAN,1.046457165
Papua New Guinea,PNG,2.381091605
Paraguay,PRY,1.199474106
Peru,PER,0.728014609
Philippines,PHL,0.834989206
Poland,POL,1.718713717
Portugal,PRT,1.194385384
Puerto Rico,PRI,0.820003074
Qatar,QAT,3.877042396
Romania,ROU,0.905429472
Russia,RUS,2.392598308
Rwanda,RWA,1.138685277
Saint Lucia,LCA,1.044560099
Saint Vincent and the Grenadines,VCT,0.906083336
Samoa,WSM,1.593201409
Sao Tome and Principe,STP,0.507046955
Saudi Arabia,SAU,1.142225348
Scotland,,1.205803956
Senegal,SEN,1.269017109
Serbia,SRB,1.294554573
Seychelles,SYC,1.16647661
Sierra Leone,SLE,0.636978106
Singapore,SGP,2.501471161
Slovakia,SVK,1.27794578
Slovenia,SVN,2.161266231
Solomon Islands,SLB,2.244914825
Somalia,SOM,0.585007041
South Africa,ZAF,1.309257339
South Asia,,1.868508723
South Korea,KOR,5.082120612
South Sudan,SSD,0.611554064
Southeast Asia,,0.955292456
"Southeast Asia, East Asia, and Oceania",,1.178684137
Southern Latin America,,1.62261889
Southern Sub-Saharan Africa,,1.519287123
Spain,ESP,0.898425731
Sri Lanka,LKA,3.587271303
Sub-Saharan Africa,,0.852752066
Sudan,SDN,0.792026626
Suriname,SUR,3.419018625
Sweden,SWE,1.517680278
Switzerland,CHE,1.754568705
Syria,SYR,0.425045861
Taiwan,TWN,2.424384186
Tajikistan,TJK,1.011796539
Tanzania,TZA,0.770293082
Thailand,THA,1.876095968
Timor,TLS,1.070413068
Togo,TGO,1.125521163
Tonga,TON,0.808090692
Trinidad and Tobago,TTO,1.38250855
Tropical Latin America,,1.052046054
Tunisia,TUN,0.568281123
Turkey,TUR,0.710314856
Turkmenistan,TKM,1.32784224
Uganda,UGA,0.872043683
Ukraine,UKR,1.982766657
United Arab Emirates,ARE,2.266213146
United Kingdom,GBR,0.949908246
United States,USA,1.707624259
United States Virgin Islands,VIR,0.739444222
Uruguay,URY,2.017703074
Uzbekistan,UZB,1.478298394
Vanuatu,VUT,2.023306904
Venezuela,VEN,1.611959423
Vietnam,VNM,1.229130491
Wales,,0.955513306
Western Europe,,1.216645065
Western Sub-Saharan Africa,,0.668030918
World,OWID_WRL,1.41891885
Yemen,YEM,0.891254916
Zambia,ZMB,0.981105186
Zimbabwe,ZWE,2.250242033
